日付,プロジェクト,チーム,完了タスク数,残タスク数,解決済バグ数,新規バグ報告数,チーム速度,顧客満足度,使用済予算(千円),残予算(千円),リスクレベル
2024-01-12,製造業向けAIソリューション導入,ガンマ,21,120,12,3,27,4.9,85000,1275000,低
2024-01-12,政府機関サイバーセキュリティ強化,デルタ,24,81,18,0,30,4.8,95000,1175000,低
2024-01-15,大手銀行システム刷新,アルファ,18,78,6,9,24,4.5,55000,1317000,中
2024-01-15,グローバル小売業向けモバイルアプリ開発,ベータ,24,63,15,3,30,4.6,75000,1357000,低
2024-01-15,製造業向けAIソリューション導入,ガンマ,27,93,18,0,33,5.0,100000,1175000,低
2024-01-15,政府機関サイバーセキュリティ強化,デルタ,21,60,15,3,27,4.7,80000,1095000,低
2024-01-16,大手銀行システム刷新,アルファ,24,54,12,3,30,4.7,70000,1247000,低
2024-01-16,グローバル小売業向けモバイルアプリ開発,ベータ,21,42,12,6,27,4.5,65000,1292000,中
2024-01-16,製造業向けAIソリューション導入,ガンマ,24,69,15,3,30,4.9,90000,1085000,低
2024-01-16,政府機関サイバーセキュリティ強化,デルタ,27,33,21,0,33,4.9,105000,990000,低
2024-01-17,大手銀行システム刷新,アルファ,21,33,9,0,27,4.8,65000,1182000,低
2024-01-17,グローバル小売業向けモバイルアプリ開発,ベータ,18,24,9,3,24,4.7,55000,1237000,低
2024-01-17,製造業向けAIソリューション導入,ガンマ,21,48,12,0,27,5.0,80000,1005000,低
2024-01-17,政府機関サイバーセキュリティ強化,デルタ,24,9,18,0,30,5.0,90000,900000,低
2024-01-18,大手銀行システム刷新,アルファ,18,15,6,3,24,4.9,50000,1132000,低
2024-01-18,グローバル小売業向けモバイルアプリ開発,ベータ,15,9,6,0,21,4.8,45000,1192000,低
2024-01-18,製造業向けAIソリューション導入,ガンマ,24,24,15,0,30,5.0,95000,910000,低
2024-01-18,政府機関サイバーセキュリティ強化,デルタ,9,0,9,0,15,5.0,50000,850000,低
2024-01-19,大手銀行システム刷新,アルファ,15,0,9,0,21,5.0,45000,1087000,低
2024-01-19,グローバル小売業向けモバイルアプリ開発,ベータ,9,0,6,0,15,5.0,30000,1162000,低
2024-01-19,製造業向けAIソリューション導入,ガンマ,24,0,12,0,30,5.0,85000,825000,低
2024-01-19,政府機関サイバーセキュリティ強化,デルタ,0,0,0,0,0,5.0,0,850000,低
2024-01-22,大手銀行システム刷新,アルファ,0,0,0,0,0,5.0,0,1087000,低
2024-01-22,グローバル小売業向けモバイルアプリ開発,ベータ,0,0,0,0,0,5.0,0,1162000,低
2024-01-22,製造業向けAIソリューション導入,ガンマ,0,0,0,0,0,5.0,0,825000,低
2024-01-22,政府機関サイバーセキュリティ強化,デルタ,0,0,0,0,0,5.0,0,850000,低
